time,temp,humidity,wind_speed
1680131894947,285.0,79.0,3.09
1680131908056,285.0,79.0,3.09
1680132324040,284.91,81.0,5.14
1680132924288,284.51,82.0,5.14
1680133524447,284.51,82.0,5.14
1680134124588,284.31,85.0,5.14
1680134724775,284.31,85.0,5.14
1680135324935,283.86,86.0,2.68
1680135925138,283.69,89.0,5.14
1680136525247,283.58,89.0,5.14
1680137125342,283.58,90.0,5.14
1680137725450,283.58,90.0,5.14
1680138325656,283.57,89.0,3.09
1680138925771,283.57,89.0,3.09
1680139525999,283.61,90.0,6.17
1680140126118,283.61,90.0,6.17
1680140726305,283.61,90.0,6.17
1680141326442,283.5,89.0,6.17
1680141926635,283.5,89.0,6.17
1680142526764,283.53,88.0,4.02
1680143126955,283.22,89.0,6.69
1680143727141,283.22,89.0,6.69
1680144327330,283.22,89.0,6.69
1680144927493,282.94,88.0,6.69
1680145527722,282.85,88.0,4.12
1680146127918,282.85,88.0,4.12
1680146728112,282.66,86.0,6.17
1680147328228,282.66,86.0,6.17
1680147928475,282.66,86.0,6.17
1680148528678,282.66,86.0,6.17
1680149128772,282.52,87.0,6.17
1680149728930,282.5,87.0,4.12
1680150329139,282.27,88.0,6.17
1680150929332,282.27,88.0,6.17
1680151529524,282.27,88.0,6.17
1680152129712,282.27,88.0,6.17
1680152729912,282.18,88.0,6.17
1680153330101,282.14,88.0,3.09
1680153930280,282.14,88.0,3.09
1680154530440,282.09,87.0,5.66
1680155130639,282.09,87.0,5.66
1680155730907,281.97,87.0,5.66
1680156331056,281.9,87.0,2.06
1680156931251,281.97,87.0,5.66
1680157531439,282.19,87.0,5.66
1680158131645,282.19,87.0,5.66
1680158731809,282.26,87.0,5.66
1680159331994,282.66,88.0,5.66
1680159932195,282.93,87.0,4.47
1680160532381,282.93,87.0,4.92
1680161132573,283.6,86.0,6.69
1680161732681,283.7,86.0,6.69
1680162332875,283.98,84.0,6.69
1680162933027,283.92,84.0,7.2
1680163533219,284.03,84.0,7.2
1680164133312,284.03,84.0,7.2
1680164733456,284.24,84.0,7.72
1680165333657,284.24,84.0,7.72
1680165933770,284.46,84.0,7.72
1680166533966,285.12,82.0,7.72
1680167134087,285.26,82.0,7.72
1680167734241,285.62,80.0,7.72
1680168334383,285.92,78.0,7.72
1680168934513,286.39,78.0,7.72
1680169534708,286.39,78.0,7.72
1680170134902,286.39,77.0,7.72
1680170735139,286.57,76.0,7.72
1680171335340,286.57,76.0,7.72
1680171935465,286.98,75.0,8.23
1680172535679,287.12,75.0,8.23
1680173135844,287.05,75.0,8.23
1680173735945,287.1,76.0,6.69
1680174336187,287.28,75.0,6.69
1680174936382,287.2,75.0,6.69
1680175536525,287.71,72.0,4.63
1680176136679,287.71,72.0,4.63
1680176736803,287.71,73.0,6.69
1680177336927,287.89,74.0,7.2
1680177937119,287.79,74.0,7.2
1680178537310,287.69,73.0,7.2
1680179137446,288.41,71.0,7.72
1680179737637,288.77,70.0,7.72
1680180337865,288.43,70.0,5.14
1680180938059,288.55,70.0,5.14
1680181538209,288.55,70.0,5.14
1680182138452,288.58,69.0,5.14
1680182738643,288.52,69.0,5.14
1680183338764,288.45,68.0,5.14
1680183938957,288.3,69.0,5.14
1680184539144,287.76,71.0,4.12
1680185139268,288.1,72.0,4.92
1680185739456,288.17,72.0,4.12
1680186339560,288.93,72.0,6.69
1680186939746,289.13,71.0,6.69
1680187539940,289.13,71.0,6.69
1680188140066,289.13,70.0,6.69
1680188740264,289.41,69.0,7.72
1680189340449,289.41,69.0,7.72
1680189940660,289.12,65.0,8.75
1680190540838,289.02,66.0,8.75
1680191140931,289.02,66.0,8.75
1680191741119,289.05,65.0,7.72
1680192341395,289.02,64.0,7.72
1680192941589,289.02,64.0,7.72
1680193541774,288.53,64.0,7.72
1680194141953,288.31,64.0,7.72
1680194742146,288.28,65.0,7.72
1680195342343,288.04,65.0,7.72
1680195942535,287.97,65.0,7.72
1680196542683,287.98,68.0,7.72
1680197142881,287.98,68.0,7.72
1680197743069,287.19,69.0,7.72
1680198343209,287.0,70.0,7.72
1680198943333,287.0,70.0,7.72
1680199543543,286.38,72.0,5.14
1680200143711,286.33,72.0,5.14
1680200743904,286.1,73.0,6.17
1680201344043,285.85,74.0,6.17
1680201944244,285.79,74.0,5.66
1680202544356,285.73,76.0,5.66
1680203144483,285.37,78.0,5.66
1680203744643,285.2,79.0,6.17
1680204344773,285.02,80.0,6.17
1680204944938,284.76,81.0,6.17
1680205545158,284.76,81.0,6.17
1680206145363,284.42,83.0,6.17
1680206745558,284.51,83.0,3.09
1680207345705,284.59,84.0,2.68
1680207945932,284.09,85.0,6.17
1680208546064,283.99,85.0,3.13
1680209146257,283.92,88.0,5.14
1680209746435,283.92,88.0,5.14
1680210346533,283.57,90.0,5.14
1680210946718,283.57,90.0,5.14
1680211546910,283.58,90.0,5.14
1680212147045,283.5,91.0,5.81
1680212747237,283.5,91.0,6.69
1680213347407,283.5,91.0,6.69
1680213947604,283.25,90.0,6.69
1680214547763,283.25,90.0,6.69
1680215147963,283.14,91.0,6.69
1680215748136,282.93,92.0,6.69
1680216348386,282.71,93.0,6.69
1680216948574,282.71,93.0,6.69
1680217548761,282.71,93.0,6.69
1680218148903,282.71,93.0,6.69
1680218749175,282.7,93.0,6.17
1680219349275,282.7,93.0,6.17
1680219949442,282.7,93.0,6.17
1680220549580,282.7,93.0,6.17
1680221149782,282.7,93.0,6.17
1680221749921,282.59,92.0,3.58
1680222350183,282.59,92.0,7.2
1680222950341,282.49,92.0,7.2
1680223550471,282.49,92.0,8.23
1680224150665,282.49,92.0,8.23
1680224750766,282.47,92.0,8.23
1680225350961,282.47,92.0,8.23
1680225951081,282.49,93.0,7.2
1680226551322,282.49,92.0,7.2
1680227151456,282.49,92.0,7.2
1680227751676,282.49,92.0,7.2
1680228351779,282.41,92.0,7.2
1680228951944,282.44,91.0,7.2
1680229552137,282.41,92.0,7.72
1680230152324,282.41,92.0,7.72
1680230752460,282.41,92.0,6.17
1680231352645,282.41,92.0,6.17
1680231952780,282.44,92.0,6.17
1680232552927,282.44,92.0,6.17
1680233153110,282.41,92.0,5.66
1680233753308,282.41,92.0,5.66
1680234353451,282.41,92.0,5.66
1680234953638,282.41,92.0,4.63
1680235553838,282.44,91.0,4.63
1680236153958,282.44,91.0,4.63
1680236754150,282.41,92.0,4.12
1680237354340,282.41,92.0,4.12
1680237954467,282.41,92.0,4.12
1680238554659,282.41,92.0,4.12
1680239154764,282.44,92.0,3.09
1680239754949,282.44,92.0,3.09
1680240355144,282.3,93.0,3.09
1680240955348,282.3,93.0,3.09
1680241555457,282.3,93.0,3.09
1680242155553,282.41,92.0,3.09
1680242755714,282.44,92.0,3.09
1680243355937,282.44,92.0,3.09
1680243956132,282.52,93.0,3.6
1680244556327,282.52,93.0,3.6
1680245156459,282.52,93.0,3.6
1680245756698,282.59,93.0,3.6
1680246356913,282.58,93.0,3.6
1680246957093,282.58,93.0,3.6
1680247557255,282.59,95.0,3.6
1680248157449,282.73,95.0,3.6
1680248757669,282.73,94.0,3.6
1680249357860,282.73,94.0,3.6
1680249957963,282.73,93.0,3.6
1680250558170,282.73,93.0,3.6
1680251158357,282.73,95.0,3.09
1680251758571,282.93,93.0,3.09
1680252358697,282.93,93.0,3.6
1680252958884,282.93,93.0,3.6
1680253559083,282.93,93.0,3.6
1680254159274,282.93,93.0,3.6
1680254759464,282.93,93.0,3.09
1680255359660,282.93,93.0,3.09
1680255959765,283.01,94.0,2.57
1680256559871,283.06,92.0,2.57
1680257160076,283.06,92.0,2.57
1680257760448,283.06,92.0,2.57
1680258360647,283.52,91.0,3.6
1680258960823,283.52,91.0,3.6
1680259560927,283.46,92.0,3.6
1680260161033,283.46,92.0,3.6
1680260761228,283.46,92.0,3.6
1680261361417,283.46,92.0,3.6
1680261961679,283.52,91.0,3.6
1680262561931,283.52,91.0,3.6
1680263162192,283.52,91.0,3.6
1680263762383,283.52,91.0,3.6
1680264362678,283.63,91.0,3.6
1680264962887,283.63,91.0,3.6
1680265563075,283.52,91.0,3.6
1680266163268,283.63,91.0,3.6
1680266763430,283.77,91.0,2.57
1680267363600,284.04,90.0,2.57
1680267963771,284.02,90.0,2.57
1680268563965,284.02,90.0,2.57
1680269164154,284.14,92.0,2.57
1680269764287,284.06,91.0,2.57
1680270364451,284.06,91.0,2.57
1680270964646,284.23,90.0,3.09
1680271564770,284.23,90.0,3.09
1680272164897,284.23,90.0,3.09
1680272765136,284.23,91.0,3.09
1680273365284,284.45,91.0,3.09
1680273965441,284.45,91.0,3.09
1680274565623,284.45,90.0,2.57
1680275165772,284.35,91.0,2.57
1680275765927,284.35,91.0,2.57
1680276366121,284.61,94.0,3.09
1680276966322,284.52,91.0,3.09
1680277566439,284.52,91.0,3.09
1680278166569,284.65,90.0,3.6
1680278766757,284.65,90.0,3.6
1680279366976,284.31,90.0,3.09
1680279967216,284.3,92.0,4.63
1680280567325,284.16,92.0,4.63
1680281167497,284.14,92.0,4.12
1680281767694,284.14,92.0,4.12
1680282367922,284.28,92.0,4.12
1680282968107,284.28,92.0,4.12
1680283568330,284.28,91.0,4.12
1680284168453,284.21,91.0,4.12
1680284768642,284.21,91.0,4.12
1680285368840,283.93,91.0,6.17
1680285969043,283.96,91.0,6.17
1680286569231,283.96,91.0,6.17
1680287169447,283.82,92.0,5.14
1680287769643,283.82,92.0,5.14
1680288369841,283.82,92.0,5.14
1680288969975,283.82,92.0,5.14
1680289570172,283.57,91.0,4.12
1680290170364,283.57,91.0,4.12
1680290770602,283.5,92.0,6.17
1680291370768,283.5,92.0,6.17
1680291970961,283.5,92.0,6.17
1680292571153,283.5,92.0,6.17
1680293171317,283.49,92.0,5.66
1680293771437,283.49,92.0,3.6
1680294371631,283.49,92.0,3.6
1680294971777,283.19,93.0,5.14
1680295571937,283.19,93.0,6.17
1680296172085,283.12,93.0,6.17
1680296772260,283.01,92.0,6.17
1680297372449,283.01,92.0,6.17
1680297972647,282.84,94.0,5.66
1680298572769,282.84,94.0,5.66
1680299172938,282.84,94.0,5.66
1680299773064,282.84,94.0,5.66
1680300373262,282.86,94.0,5.66
1680300973472,282.84,94.0,5.66
1680301573670,282.84,94.0,5.66
1680302173831,282.73,93.0,5.66
1680302773960,282.73,92.0,5.66
1680303374146,282.84,92.0,5.66
1680303974342,282.73,92.0,5.66
1680304574435,282.73,92.0,5.66
1680305174545,282.73,92.0,5.66
1680305774795,282.73,92.0,5.66
1680306374959,282.73,92.0,5.14
1680306975157,282.73,93.0,5.14
1680307575304,282.73,92.0,5.14
1680308175501,282.73,92.0,4.63
1680308775686,282.59,93.0,4.63
1680309375878,282.59,93.0,4.63
1680309976077,282.59,93.0,4.63
1680310576271,282.59,93.0,4.12
1680311176457,282.58,93.0,4.12
1680311776684,282.59,93.0,5.66
1680312376846,282.59,93.0,5.66
1680312976998,282.59,93.0,5.66
1680313577126,282.59,93.0,5.66
1680314177328,282.49,93.0,4.12
1680314777451,282.49,93.0,4.12
1680315377682,282.41,92.0,4.63
1680315977875,282.41,92.0,4.63
1680316578063,282.41,92.0,4.63
1680317178254,282.41,92.0,4.63
1680317778432,282.41,92.0,4.63
1680318378632,282.44,92.0,4.63
1680318978778,282.44,92.0,4.63
1680319578963,282.41,92.0,4.12
1680320179192,282.41,92.0,4.12
1680320779387,282.41,92.0,4.12
1680321379499,282.28,94.0,4.63
1680321979615,282.28,94.0,4.63
1680322579771,282.24,94.0,4.63
1680323179939,282.28,94.0,4.63
1680323780111,282.4,93.0,3.6
1680324380317,282.4,93.0,3.6
1680324980443,282.24,93.0,3.6
1680325580634,282.09,94.0,4.63
1680326180825,281.93,95.0,4.12
1680326780960,281.93,95.0,4.12
1680327381155,281.93,95.0,4.12
1680327981300,281.93,95.0,5.14
1680328581439,281.93,95.0,5.14
1680329181543,281.96,94.0,5.14
1680329781744,281.93,95.0,4.12
1680330381923,281.93,95.0,4.12
1680330982063,282.07,95.0,4.12
1680331582253,282.07,95.0,4.12
1680332182438,281.93,95.0,3.6
1680332782569,281.96,94.0,3.6
1680333382681,281.96,94.0,3.6
1680333982893,281.96,94.0,3.6
1680334583091,281.83,95.0,3.6
1680335183283,281.83,94.0,3.6
1680335783498,281.83,94.0,3.6
1680336383654,281.69,93.0,3.6
1680336983788,281.69,93.0,3.6
1680337583940,281.69,94.0,3.6
1680338184189,281.6,92.0,3.6
1680338784436,281.96,92.0,3.6
1680339384546,281.96,92.0,3.6
1680339984745,282.04,93.0,1.34
1680340584933,282.04,93.0,1.79
1680341185127,282.02,94.0,2.57
1680341785317,282.28,94.0,2.57
1680342385436,282.28,94.0,2.57
1680342985627,282.54,93.0,3.09
1680343585776,282.67,92.0,3.09
1680344185962,282.67,92.0,3.09
1680344786086,282.93,91.0,4.12
1680345386206,282.81,92.0,4.12
1680345986408,282.95,92.0,4.12
1680346586594,282.95,92.0,4.12
1680347186770,283.11,91.0,3.09
1680347786955,283.11,91.0,3.09
1680348387064,283.26,90.0,4.12
1680348987249,283.16,89.0,4.12
1680349587453,283.59,86.0,4.12
1680350187739,283.6,85.0,4.12
1680350787921,283.71,91.0,4.12
1680351388114,283.93,88.0,4.12
1680351988309,283.93,88.0,4.12
1680352588445,283.82,91.0,4.12
1680353188656,283.82,91.0,4.12
1680353788777,284.06,88.0,4.12
1680354388924,284.51,82.0,4.12
1680354989108,284.51,82.0,4.12
1680355589307,284.51,82.0,4.12
1680356189442,284.51,82.0,4.12
1680356789638,284.51,82.0,4.12
1680357389767,284.51,82.0,4.12
1680357989949,284.51,82.0,4.12
1680358590117,284.51,82.0,3.09
1680359190307,283.64,85.0,7.2
1680359790442,283.64,84.0,7.2
1680360390643,283.64,84.0,7.2
1680360990892,283.64,84.0,7.2
1680361591084,282.8,87.0,2.57
1680362191280,282.8,87.0,2.57
1680362791508,283.26,87.0,5.14
1680363391660,283.26,87.0,5.14
1680363991801,283.15,84.0,5.14
1680364591940,283.04,88.0,5.14
1680365192144,282.98,88.0,2.24
1680365792319,282.98,88.0,2.24
1680366392456,282.79,88.0,7.2
1680366992650,282.57,89.0,7.2
1680367592773,282.57,89.0,7.2
1680368192937,282.57,90.0,7.2
1680368793073,282.43,90.0,7.2
1680369393292,282.27,90.0,8.23
1680369993448,282.27,90.0,8.23
1680370593617,282.58,91.0,8.23
1680371193769,282.58,91.0,8.23
1680371793960,282.44,91.0,8.23
1680372394153,282.12,91.0,5.14
1680372994281,282.12,91.0,5.14
1680373594498,282.17,91.0,8.23
1680374194692,282.17,91.0,8.23
1680374794879,282.17,91.0,8.23
1680375395046,281.92,91.0,8.23
1680375995228,281.92,91.0,8.23
1680376595430,281.77,91.0,7.72
1680377195623,281.77,91.0,5.66
1680377795904,281.77,91.0,5.66
1680378396094,281.77,89.0,6.17
1680378996292,281.77,89.0,6.17
1680379596490,281.64,87.0,6.17
1680380196693,281.64,87.0,6.17
1680380796867,281.64,87.0,6.17
1680381397010,281.64,85.0,6.69
1680381997200,281.64,85.0,6.69
1680382597344,281.64,85.0,6.69
1680383197445,281.64,85.0,6.69
1680383797634,281.66,84.0,5.66
1680384397835,281.64,84.0,6.69
1680384997968,281.66,84.0,5.66
1680385598154,281.66,84.0,5.14
1680386198344,281.66,84.0,5.14
1680386798531,281.66,84.0,5.14
1680387398771,281.66,83.0,5.14
1680387998967,281.66,84.0,5.14
1680388599226,281.76,82.0,5.14
1680389199427,281.76,82.0,5.14
1680389799614,281.76,82.0,6.17
1680390399773,281.77,83.0,6.17
1680391000012,281.83,83.0,6.69
1680391600209,281.76,84.0,6.69
1680392200406,281.83,84.0,6.69
1680392616749,281.83,84.0,6.69
1680392800608,281.83,84.0,6.69
1680393026845,281.83,84.0,6.69
1680393400782,281.83,84.0,6.17
1680393627035,281.83,84.0,6.17
1680394000932,281.83,84.0,6.17
1680394227165,281.83,84.0,6.17
1680394601121,281.64,85.0,6.17
1680395201306,281.64,84.0,5.66
1680395801444,281.64,84.0,5.66
1680396401696,281.64,85.0,5.66
1680397001887,281.64,85.0,5.14
1680397602015,281.64,85.0,5.14
1680398202202,281.64,86.0,5.14
1680398802400,281.61,85.0,5.66
1680399402598,281.61,86.0,5.66
1680400002797,281.5,86.0,3.6
1680400602949,281.5,86.0,3.6
1680401203119,281.22,87.0,5.14
1680401803325,281.26,87.0,4.63
1680402403459,281.26,87.0,4.63
1680403003617,281.26,87.0,4.63
1680403603773,281.26,87.0,4.63
1680404203977,281.26,88.0,4.63
1680404804130,281.14,88.0,4.63
1680405404355,280.96,89.0,3.09
1680406004445,280.96,89.0,3.09
1680406604649,280.96,89.0,3.09
1680407204813,280.96,89.0,3.09
1680407804931,280.85,89.0,3.09
1680408405027,280.75,90.0,3.09
1680409005214,280.58,90.0,3.6
1680409605350,280.58,90.0,3.6
1680410205478,280.44,90.0,3.6
1680410805675,280.44,90.0,3.6
1680411405772,280.23,91.0,3.6
1680412005951,280.28,91.0,3.6
1680412606118,280.28,91.0,3.6
1680413206247,280.28,91.0,3.6
1680413806430,280.02,92.0,3.6
1680414406621,280.02,92.0,3.6
1680415006770,280.02,92.0,4.12
1680415606951,280.05,92.0,4.12
1680416207081,280.05,92.0,4.12
1680416807205,280.02,93.0,4.12
1680417407389,280.02,93.0,4.12
1680418007519,280.02,93.0,3.6
1680418607719,280.12,93.0,3.6
1680419207904,280.12,93.0,3.6
1680419808031,280.24,93.0,3.6
1680420408227,280.28,93.0,2.57
1680421008396,280.39,93.0,2.57
1680421608586,280.39,93.0,2.57
1680422208821,280.73,91.0,2.57
1680422808941,280.77,91.0,2.57
1680423409191,280.77,91.0,2.57
1680424009409,280.98,92.0,2.06
1680424609573,281.25,90.0,2.06
1680425209765,281.25,91.0,2.57
1680425809964,281.42,93.0,2.57
1680426410151,281.42,93.0,2.57
1680427010341,281.76,92.0,2.57
1680427610441,281.76,92.0,2.57
1680428210601,282.0,89.0,2.57
1680428810776,282.07,89.0,2.57
1680429410954,282.42,88.0,2.57
1680430011151,282.42,88.0,2.57
1680430611316,282.81,86.0,2.57
1680431211454,283.22,83.0,1.54
1680431811652,283.48,81.0,1.54
1680432411805,283.48,81.0,1.54
1680432446572,283.48,82.0,2.57
